City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
619,Gravdal,NO,68.1214,13.5031,49.89,76,75,9.22,
620,Ojinaga,MX,29.5667,-104.4167,68.95,68,0,5.75,
621,Pangkalanbuun,ID,-2.6833,111.6167,78.04,93,100,2.86,
622,Kondagaon,IN,19.6,81.6667,75.25,88,93,7.4,
623,Sur,OM,22.5667,59.5289,89.69,45,6,9.55,
624,Huarmey,PE,-10.0681,-78.1522,59.54,87,35,6.46,
625,Abu Samrah,SY,35.3029,37.1841,84.13,23,0,4.21,
626,Coolum Beach,AU,-26.5333,153.1,69.12,80,70,7.09,
627,Tazovskiy,RU,67.4667,78.7,36.82,68,85,9.06,
628,Honiara,SB,-9.4333,159.95,78.94,83,94,2.86,
629,Sangar,RU,63.9242,127.4739,24.96,73,100,4.47,
630,Huilong,CN,31.8111,121.655,60.93,88,100,12.03,
631,Isla Mujeres,MX,21.2311,-86.731,66.25,66,3,5.55,
632,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,82.24,47,11,4.27,
633,Ontario,US,34.0633,-117.6509,74.64,87,100,9.22,
634,Ciudad Bolivar,VE,8.1222,-63.5497,75.29,91,100,2.04,
635,Atar,MR,20.5169,-13.0499,86.05,21,54,11.5,
636,Cienfuegos,CU,22.1461,-80.4356,69.94,94,13,4.61,
637,Valparaiso,CL,-33.0393,-71.6273,54.48,100,0,4.61,
638,Cadillac,US,44.2519,-85.4012,48.11,87,0,4.61,
639,Mercedes,AR,-34.6515,-59.4307,56.03,84,100,7.47,
640,Jieshi,CN,22.8134,115.8257,80.31,79,8,21.03,
641,Snezhnogorsk,RU,69.1933,33.2531,44.38,88,100,26.24,
642,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,65,75,6.71,
643,Olustvere,EE,58.5552,25.563,54.36,87,99,16.51,
644,Bestobe,KZ,52.4994,73.0975,65.21,30,99,9.91,
645,Colac,AU,-38.3333,143.5833,59.16,98,100,5.46,
646,Banda Aceh,ID,5.5577,95.3222,81.05,79,99,13.6,
647,Chaumont,FR,48.1167,5.1333,60.85,61,99,5.21,
648,Pueblo,US,38.2545,-104.6091,50.49,79,7,3.29,
649,Constantine,DZ,36.365,6.6147,69.21,68,40,2.3,
650,Hirado,JP,33.3597,129.5531,70.39,72,100,2.55,
651,Itarantim,BR,-15.6597,-40.0656,71.26,80,20,3.22,
652,Xiongzhou,CN,25.1167,114.3,82.42,58,69,4.45,
653,Qeshm,IR,26.9581,56.2719,96.67,53,0,7.02,
654,Makakilo City,US,21.3469,-158.0858,77.32,80,0,8.05,
655,Alekseyevskoye,RU,55.3071,50.1135,48.81,82,95,10.18,
656,Charlottesville,US,38.0293,-78.4767,54.25,93,0,3.44,
657,Vysotsk,RU,60.6288,28.5705,53.29,91,100,22.93,
658,Kurchum,KZ,48.5722,83.6542,59.95,45,96,13.89,
659,Coihaique,CL,-45.5752,-72.0662,44.55,65,20,8.05,
660,Hue,VN,16.4667,107.6,82.51,78,40,5.75,
661,Kolarovo,SK,47.9229,17.9847,63.14,70,74,4.92,
662,Mahanje,TZ,-9.9333,35.3333,86.85,22,62,8.21,
663,Port-Gentil,GA,-0.7193,8.7815,84.16,70,40,14.97,
664,Cozumel,MX,20.5083,-86.9458,75.27,78,0,0.0,
665,Okato,NZ,-39.2,173.8833,40.17,78,1,5.01,
666,Inhambane,MZ,-23.865,35.3833,86.63,53,0,14.27,
667,Truckee,US,39.328,-120.1833,57.24,50,0,1.77,
668,Catamarca,AR,-28.4696,-65.7852,54.77,75,11,1.99,
669,Tigil,RU,57.8,158.6667,33.19,96,100,14.16,
670,Minden,DE,52.2833,8.9167,59.95,67,20,17.27,
671,Moree,AU,-29.4667,149.85,65.37,69,75,13.67,
672,Kushima,JP,31.4583,131.2333,70.65,85,100,3.22,
673,Mazatlan,MX,23.2167,-106.4167,79.92,88,40,4.0,
