City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
601,Palauig,PH,83.88,15.435,119.9045,Villa Raphael Resort
602,Itagiba,BR,70.59,-14.2836,-39.8428,KALIBA BAR Pousada e Restaurante
603,Kriel,ZA,88.81,-26.2739,29.2253,In Him Guesthouse (Accomodation)
604,Cobija,BO,71.58,-11.0267,-68.7692,Hotel Obelisco
608,Papagaios,BR,72.43,-19.4492,-44.7478,Hotel Mac Palace
611,Pasighat,IN,75.15,28.0667,95.3333,Siang Guest House
618,Inongo,CD,76.14,-1.95,18.2667,Hotel Du Lac
621,Pangkalanbuun,ID,78.04,-2.6833,111.6167,Grand Kecubung Hotel
622,Kondagaon,IN,75.25,19.6,81.6667,AYAN MOTER
623,Sur,OM,89.69,22.5667,59.5289,Sur Plaza Hotel
628,Honiara,SB,78.94,-9.4333,159.95,Heritage Park Hotel
632,Sao Miguel Do Araguaia,BR,82.24,-13.275,-50.1628,Hotel Executivo Palace
633,Ontario,US,74.64,34.0633,-117.6509,Capri Motel
634,Ciudad Bolivar,VE,75.29,8.1222,-63.5497,Hotel Edi
635,Atar,MR,86.05,20.5169,-13.0499,Oumou Elghoura
640,Jieshi,CN,80.31,22.8134,115.8257,Yuehai Hotel
646,Banda Aceh,ID,81.05,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
650,Hirado,JP,70.39,33.3597,129.5531,Samson Hotel
651,Itarantim,BR,71.26,-15.6597,-40.0656,Pousada Buterfly
652,Xiongzhou,CN,82.42,25.1167,114.3,Xinhewan Business Hotel
654,Makakilo City,US,77.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
660,Hue,VN,82.51,16.4667,107.6,Saigon Morin Hotel
662,Mahanje,TZ,86.85,-9.9333,35.3333,Amani social Hall
663,Port-Gentil,GA,84.16,-0.7193,8.7815,Fengshui Residence
664,Cozumel,MX,75.27,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
666,Inhambane,MZ,86.63,-23.865,35.3833,Oceano
672,Kushima,JP,70.65,31.4583,131.2333,Hanaoka
673,Mazatlan,MX,79.92,23.2167,-106.4167,Hotel La Siesta
